Initializing Parameters Merge
Initializing Parameters Split
Reading train dataset for 1 scales
Reading train dataset for 2 scales
Reading train dataset for 3 scales
Reading test dataset for 5 scales
TRAINING --> | Epoch 0 | Iter 0 / 8192 | Loss 85.96346282958984 | Accuracy Train 0.0 | Elapsed 1.333191156387329 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2176 / 8192 | Loss 1.0943673849105835 | Accuracy Train 0.671875 | Elapsed 0.8976900577545166 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2304 / 8192 | Loss 1.231702208518982 | Accuracy Train 0.5234375 | Elapsed 0.8596043586730957 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2432 / 8192 | Loss 1.3414621353149414 | Accuracy Train 0.625 | Elapsed 0.8598635196685791 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2560 / 8192 | Loss 1.1670242547988892 | Accuracy Train 0.5625 | Elapsed 0.8599991798400879 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2688 / 8192 | Loss 0.9587987661361694 | Accuracy Train 0.6796875 | Elapsed 0.8607890605926514 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2816 / 8192 | Loss 1.0729010105133057 | Accuracy Train 0.640625 | Elapsed 0.8934168815612793 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 2944 / 8192 | Loss 0.902436375617981 | Accuracy Train 0.7109375 | Elapsed 0.860192060470581 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3072 / 8192 | Loss 1.1778228282928467 | Accuracy Train 0.65625 | Elapsed 0.9073958396911621 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3200 / 8192 | Loss 0.9677502512931824 | Accuracy Train 0.6953125 | Elapsed 0.8609802722930908 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3328 / 8192 | Loss 1.322490930557251 | Accuracy Train 0.59375 | Elapsed 0.8856608867645264 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3456 / 8192 | Loss 1.1772406101226807 | Accuracy Train 0.6015625 | Elapsed 0.8619534969329834 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3584 / 8192 | Loss 1.2249326705932617 | Accuracy Train 0.6953125 | Elapsed 0.9104561805725098 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3712 / 8192 | Loss 1.0015230178833008 | Accuracy Train 0.65625 | Elapsed 0.8632006645202637 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3840 / 8192 | Loss 0.9871735572814941 | Accuracy Train 0.625 | Elapsed 0.9044997692108154 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 3968 / 8192 | Loss 0.792205274105072 | Accuracy Train 0.78125 | Elapsed 0.8619318008422852 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4096 / 8192 | Loss 0.8280181288719177 | Accuracy Train 0.7265625 | Elapsed 0.8621053695678711 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4224 / 8192 | Loss 0.9510987997055054 | Accuracy Train 0.671875 | Elapsed 0.862612247467041 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4352 / 8192 | Loss 0.9108165502548218 | Accuracy Train 0.6328125 | Elapsed 0.8634679317474365 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4480 / 8192 | Loss 0.7064409255981445 | Accuracy Train 0.703125 | Elapsed 0.898430347442627 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4608 / 8192 | Loss 1.1668428182601929 | Accuracy Train 0.578125 | Elapsed 0.8625562191009521 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4736 / 8192 | Loss 0.8878118395805359 | Accuracy Train 0.671875 | Elapsed 0.8626441955566406 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4864 / 8192 | Loss 0.9894469976425171 | Accuracy Train 0.71875 | Elapsed 0.863044261932373 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 4992 / 8192 | Loss 0.8914221525192261 | Accuracy Train 0.75 | Elapsed 0.8630750179290771 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5120 / 8192 | Loss 0.9692007303237915 | Accuracy Train 0.6484375 | Elapsed 0.8703176975250244 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5248 / 8192 | Loss 0.8468634486198425 | Accuracy Train 0.703125 | Elapsed 0.864469051361084 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5376 / 8192 | Loss 0.8764553070068359 | Accuracy Train 0.6875 | Elapsed 0.8647112846374512 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5504 / 8192 | Loss 0.7284478545188904 | Accuracy Train 0.75 | Elapsed 0.8966448307037354 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5632 / 8192 | Loss 0.9544431567192078 | Accuracy Train 0.6875 | Elapsed 0.8636407852172852 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5760 / 8192 | Loss 0.9472505450248718 | Accuracy Train 0.6171875 | Elapsed 0.8642420768737793 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 5888 / 8192 | Loss 1.1550085544586182 | Accuracy Train 0.6796875 | Elapsed 0.9081628322601318 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6016 / 8192 | Loss 1.0023376941680908 | Accuracy Train 0.65625 | Elapsed 0.8634452819824219 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6144 / 8192 | Loss 1.0644118785858154 | Accuracy Train 0.640625 | Elapsed 0.8664579391479492 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6272 / 8192 | Loss 0.9571572542190552 | Accuracy Train 0.703125 | Elapsed 0.8638720512390137 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6400 / 8192 | Loss 0.659340500831604 | Accuracy Train 0.7421875 | Elapsed 0.9043455123901367 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6528 / 8192 | Loss 0.9133791923522949 | Accuracy Train 0.6875 | Elapsed 0.863623857498169 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6656 / 8192 | Loss 0.7960478067398071 | Accuracy Train 0.6875 | Elapsed 0.8641147613525391 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6784 / 8192 | Loss 0.7510132789611816 | Accuracy Train 0.6953125 | Elapsed 0.8849492073059082 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 6912 / 8192 | Loss 0.8905930519104004 | Accuracy Train 0.6171875 | Elapsed 0.9059665203094482 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7040 / 8192 | Loss 0.7648671865463257 | Accuracy Train 0.6796875 | Elapsed 0.8641674518585205 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7168 / 8192 | Loss 0.7306557893753052 | Accuracy Train 0.6796875 | Elapsed 0.8649184703826904 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7296 / 8192 | Loss 0.7013155221939087 | Accuracy Train 0.765625 | Elapsed 0.8662900924682617 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7424 / 8192 | Loss 0.6680419445037842 | Accuracy Train 0.78125 | Elapsed 0.8654305934906006 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7552 / 8192 | Loss 0.8442367911338806 | Accuracy Train 0.6953125 | Elapsed 0.9220879077911377 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7680 / 8192 | Loss 0.6858252882957458 | Accuracy Train 0.765625 | Elapsed 0.8650884628295898 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7808 / 8192 | Loss 0.8376652002334595 | Accuracy Train 0.6953125 | Elapsed 0.8649232387542725 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 7936 / 8192 | Loss 0.7984260320663452 | Accuracy Train 0.65625 | Elapsed 0.8651931285858154 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 0 | Iter 8064 / 8192 | Loss 0.7922088503837585 | Accuracy Train 0.75 | Elapsed 0.8656497001647949 | dynamic True | Learning Rate 0.001
Saving model parameters
TRAINING --> | Epoch 1 | Iter 0 / 8192 | Loss 0.9076091647148132 | Accuracy Train 0.640625 | Elapsed 1.0200674533843994 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 128 / 8192 | Loss 0.5465928912162781 | Accuracy Train 0.765625 | Elapsed 0.8606517314910889 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 256 / 8192 | Loss 0.5693387985229492 | Accuracy Train 0.8046875 | Elapsed 0.8954129219055176 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 384 / 8192 | Loss 0.6540142297744751 | Accuracy Train 0.734375 | Elapsed 0.8615272045135498 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 512 / 8192 | Loss 0.5691416263580322 | Accuracy Train 0.796875 | Elapsed 0.8990306854248047 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 640 / 8192 | Loss 0.49436092376708984 | Accuracy Train 0.8203125 | Elapsed 0.8612408638000488 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 768 / 8192 | Loss 0.7650766372680664 | Accuracy Train 0.7578125 | Elapsed 0.901214599609375 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 896 / 8192 | Loss 0.42922207713127136 | Accuracy Train 0.84375 | Elapsed 0.8604443073272705 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1024 / 8192 | Loss 0.6079061031341553 | Accuracy Train 0.7734375 | Elapsed 0.8924615383148193 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1152 / 8192 | Loss 0.6809942722320557 | Accuracy Train 0.6953125 | Elapsed 0.8603448867797852 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1280 / 8192 | Loss 0.49132245779037476 | Accuracy Train 0.765625 | Elapsed 0.8652453422546387 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1408 / 8192 | Loss 0.47683486342430115 | Accuracy Train 0.8203125 | Elapsed 0.8608460426330566 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1536 / 8192 | Loss 0.4363217353820801 | Accuracy Train 0.8671875 | Elapsed 0.8635473251342773 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1664 / 8192 | Loss 0.577254056930542 | Accuracy Train 0.7734375 | Elapsed 0.869572639465332 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1792 / 8192 | Loss 0.5547658205032349 | Accuracy Train 0.75 | Elapsed 0.861487627029419 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 1920 / 8192 | Loss 0.5564789175987244 | Accuracy Train 0.8515625 | Elapsed 0.8615052700042725 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2048 / 8192 | Loss 0.5147393941879272 | Accuracy Train 0.8515625 | Elapsed 0.8629541397094727 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2176 / 8192 | Loss 0.6993166208267212 | Accuracy Train 0.734375 | Elapsed 0.8617541790008545 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2304 / 8192 | Loss 0.6013264656066895 | Accuracy Train 0.765625 | Elapsed 0.9188268184661865 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2432 / 8192 | Loss 0.54710453748703 | Accuracy Train 0.7890625 | Elapsed 0.8612418174743652 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2560 / 8192 | Loss 0.536082923412323 | Accuracy Train 0.796875 | Elapsed 0.8610599040985107 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2688 / 8192 | Loss 0.5215181112289429 | Accuracy Train 0.8046875 | Elapsed 0.8629093170166016 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2816 / 8192 | Loss 0.5764726996421814 | Accuracy Train 0.8359375 | Elapsed 0.861461877822876 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 2944 / 8192 | Loss 0.459293931722641 | Accuracy Train 0.828125 | Elapsed 0.8889741897583008 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3072 / 8192 | Loss 0.46420592069625854 | Accuracy Train 0.765625 | Elapsed 0.8624496459960938 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3200 / 8192 | Loss 0.6688205599784851 | Accuracy Train 0.796875 | Elapsed 0.8613500595092773 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3328 / 8192 | Loss 0.5269226431846619 | Accuracy Train 0.7890625 | Elapsed 0.8623144626617432 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3456 / 8192 | Loss 0.6131805777549744 | Accuracy Train 0.765625 | Elapsed 0.8625822067260742 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3584 / 8192 | Loss 0.6351865530014038 | Accuracy Train 0.75 | Elapsed 0.8621809482574463 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3712 / 8192 | Loss 0.49022769927978516 | Accuracy Train 0.8046875 | Elapsed 0.8617722988128662 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3840 / 8192 | Loss 0.5489766597747803 | Accuracy Train 0.7734375 | Elapsed 0.8744823932647705 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 3968 / 8192 | Loss 0.5967870950698853 | Accuracy Train 0.8046875 | Elapsed 0.8626444339752197 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4096 / 8192 | Loss 0.4794573187828064 | Accuracy Train 0.8046875 | Elapsed 0.8625564575195312 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4224 / 8192 | Loss 0.5673138499259949 | Accuracy Train 0.7265625 | Elapsed 0.861809492111206 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4352 / 8192 | Loss 0.6018980741500854 | Accuracy Train 0.75 | Elapsed 0.8855571746826172 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4480 / 8192 | Loss 0.5084103941917419 | Accuracy Train 0.75 | Elapsed 0.8626546859741211 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4608 / 8192 | Loss 0.5125635862350464 | Accuracy Train 0.78125 | Elapsed 0.8667399883270264 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4736 / 8192 | Loss 0.5217681527137756 | Accuracy Train 0.796875 | Elapsed 0.8617010116577148 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4864 / 8192 | Loss 0.5863038301467896 | Accuracy Train 0.734375 | Elapsed 0.8620309829711914 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 4992 / 8192 | Loss 0.4594883918762207 | Accuracy Train 0.828125 | Elapsed 0.8626322746276855 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5120 / 8192 | Loss 0.5169792771339417 | Accuracy Train 0.78125 | Elapsed 0.8882730007171631 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5248 / 8192 | Loss 0.5011405944824219 | Accuracy Train 0.8125 | Elapsed 0.8649344444274902 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5376 / 8192 | Loss 0.6352646350860596 | Accuracy Train 0.7421875 | Elapsed 0.8620150089263916 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5504 / 8192 | Loss 0.3806607127189636 | Accuracy Train 0.84375 | Elapsed 0.8700296878814697 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5632 / 8192 | Loss 0.5722543597221375 | Accuracy Train 0.7421875 | Elapsed 0.8629505634307861 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5760 / 8192 | Loss 0.5152892470359802 | Accuracy Train 0.7578125 | Elapsed 0.8630995750427246 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 5888 / 8192 | Loss 0.4934839606285095 | Accuracy Train 0.828125 | Elapsed 0.8623597621917725 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6016 / 8192 | Loss 0.6070173382759094 | Accuracy Train 0.7421875 | Elapsed 0.867905855178833 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6144 / 8192 | Loss 0.5095627307891846 | Accuracy Train 0.796875 | Elapsed 0.902294397354126 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6272 / 8192 | Loss 0.5685209631919861 | Accuracy Train 0.8046875 | Elapsed 0.8632364273071289 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6400 / 8192 | Loss 0.41634583473205566 | Accuracy Train 0.8515625 | Elapsed 0.863379955291748 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6528 / 8192 | Loss 0.6342255473136902 | Accuracy Train 0.8125 | Elapsed 0.8639411926269531 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6656 / 8192 | Loss 0.584682047367096 | Accuracy Train 0.75 | Elapsed 0.8631248474121094 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6784 / 8192 | Loss 0.4606805741786957 | Accuracy Train 0.796875 | Elapsed 0.8628096580505371 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 6912 / 8192 | Loss 0.5273485779762268 | Accuracy Train 0.7421875 | Elapsed 0.8632867336273193 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7040 / 8192 | Loss 0.49291643500328064 | Accuracy Train 0.75 | Elapsed 0.8640503883361816 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7168 / 8192 | Loss 0.49399399757385254 | Accuracy Train 0.8046875 | Elapsed 0.8643999099731445 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7296 / 8192 | Loss 0.5574707984924316 | Accuracy Train 0.8359375 | Elapsed 0.8728408813476562 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7424 / 8192 | Loss 0.5214104056358337 | Accuracy Train 0.8125 | Elapsed 0.8628754615783691 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7552 / 8192 | Loss 0.5976462364196777 | Accuracy Train 0.7734375 | Elapsed 0.8639378547668457 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7680 / 8192 | Loss 0.4456532895565033 | Accuracy Train 0.8046875 | Elapsed 0.8645830154418945 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7808 / 8192 | Loss 0.4304191470146179 | Accuracy Train 0.8125 | Elapsed 0.8687279224395752 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 7936 / 8192 | Loss 0.5138462781906128 | Accuracy Train 0.7109375 | Elapsed 0.8686213493347168 | dynamic True | Learning Rate 0.0005
TRAINING --> | Epoch 1 | Iter 8064 / 8192 | Loss 0.5244768857955933 | Accuracy Train 0.7890625 | Elapsed 0.8679778575897217 | dynamic True | Learning Rate 0.0005
Saving model parameters
TRAINING --> | Epoch 2 | Iter 0 / 8192 | Loss 0.5130063891410828 | Accuracy Train 0.7578125 | Elapsed 0.8889627456665039 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 128 / 8192 | Loss 0.50258868932724 | Accuracy Train 0.796875 | Elapsed 0.8703346252441406 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 256 / 8192 | Loss 0.5422163009643555 | Accuracy Train 0.8203125 | Elapsed 0.8693406581878662 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 384 / 8192 | Loss 0.4881514012813568 | Accuracy Train 0.7734375 | Elapsed 0.8704249858856201 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 512 / 8192 | Loss 0.40485304594039917 | Accuracy Train 0.8125 | Elapsed 0.8687052726745605 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 640 / 8192 | Loss 0.3910432457923889 | Accuracy Train 0.8984375 | Elapsed 0.9009242057800293 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 768 / 8192 | Loss 0.5832579135894775 | Accuracy Train 0.7734375 | Elapsed 0.8690404891967773 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 896 / 8192 | Loss 0.32576608657836914 | Accuracy Train 0.8515625 | Elapsed 0.8694510459899902 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1024 / 8192 | Loss 0.5210602283477783 | Accuracy Train 0.7734375 | Elapsed 0.8681905269622803 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1152 / 8192 | Loss 0.4302607476711273 | Accuracy Train 0.8125 | Elapsed 0.8686783313751221 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1280 / 8192 | Loss 0.39242205023765564 | Accuracy Train 0.8359375 | Elapsed 0.8752059936523438 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1408 / 8192 | Loss 0.4484249949455261 | Accuracy Train 0.8125 | Elapsed 0.8694889545440674 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1536 / 8192 | Loss 0.31935304403305054 | Accuracy Train 0.9140625 | Elapsed 0.8700804710388184 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1664 / 8192 | Loss 0.4418710172176361 | Accuracy Train 0.78125 | Elapsed 0.8689308166503906 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1792 / 8192 | Loss 0.42837733030319214 | Accuracy Train 0.8359375 | Elapsed 0.9071052074432373 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 1920 / 8192 | Loss 0.3922465741634369 | Accuracy Train 0.8828125 | Elapsed 0.8699853420257568 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 2048 / 8192 | Loss 0.39598774909973145 | Accuracy Train 0.8671875 | Elapsed 0.8700809478759766 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 2176 / 8192 | Loss 0.406449556350708 | Accuracy Train 0.8203125 | Elapsed 0.8694250583648682 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 2304 / 8192 | Loss 0.5168510675430298 | Accuracy Train 0.8125 | Elapsed 0.912675142288208 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 2432 / 8192 | Loss 0.46310853958129883 | Accuracy Train 0.765625 | Elapsed 0.8697800636291504 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 2560 / 8192 | Loss 0.41313549876213074 | Accuracy Train 0.8125 | Elapsed 0.8706023693084717 | dynamic True | Learning Rate 0.0003333333333333333
TRAINING --> | Epoch 2 | Iter 2688 / 8192 | Loss 0.432996928691864 | Accuracy Train 0.828125 | Elapsed 0.8710658550262451 | dynamic True | Learning Rate 0.0003333333333333333
